timestamp,datetime,index_value,fetched_at,date,source_endpoint
1756369920,2025-08-28 14:17:00,2793.88,2025-08-30 12:59:55.627950,2025-08-30,DailyNepseIndexGraph
1756369980,2025-08-28 14:18:00,2794.78,2025-08-30 12:59:55.627957,2025-08-30,DailyNepseIndexGraph
1756370040,2025-08-28 14:19:00,2794.34,2025-08-30 12:59:55.627965,2025-08-30,DailyNepseIndexGraph
1756370100,2025-08-28 14:20:00,2793.24,2025-08-30 12:59:55.627973,2025-08-30,DailyNepseIndexGraph
1756370160,2025-08-28 14:21:00,2793.03,2025-08-30 12:59:55.627980,2025-08-30,DailyNepseIndexGraph
1756370220,2025-08-28 14:22:00,2791.97,2025-08-30 12:59:55.627987,2025-08-30,DailyNepseIndexGraph
1756370280,2025-08-28 14:23:00,2791.67,2025-08-30 12:59:55.627994,2025-08-30,DailyNepseIndexGraph
1756370340,2025-08-28 14:24:00,2789.79,2025-08-30 12:59:55.628002,2025-08-30,DailyNepseIndexGraph
1756370400,2025-08-28 14:25:00,2788.36,2025-08-30 12:59:55.628009,2025-08-30,DailyNepseIndexGraph
1756370460,2025-08-28 14:26:00,2787.68,2025-08-30 12:59:55.628016,2025-08-30,DailyNepseIndexGraph
1756370520,2025-08-28 14:27:00,2786.47,2025-08-30 12:59:55.628023,2025-08-30,DailyNepseIndexGraph
1756370580,2025-08-28 14:28:00,2787.23,2025-08-30 12:59:55.628031,2025-08-30,DailyNepseIndexGraph
1756370640,2025-08-28 14:29:00,2787.87,2025-08-30 12:59:55.628038,2025-08-30,DailyNepseIndexGraph
1756370700,2025-08-28 14:30:00,2788.37,2025-08-30 12:59:55.628045,2025-08-30,DailyNepseIndexGraph
1756370760,2025-08-28 14:31:00,2787.85,2025-08-30 12:59:55.628052,2025-08-30,DailyNepseIndexGraph
1756370820,2025-08-28 14:32:00,2787.78,2025-08-30 12:59:55.628059,2025-08-30,DailyNepseIndexGraph
1756370880,2025-08-28 14:33:00,2787.37,2025-08-30 12:59:55.628065,2025-08-30,DailyNepseIndexGraph
1756370940,2025-08-28 14:34:00,2786.91,2025-08-30 12:59:55.628073,2025-08-30,DailyNepseIndexGraph
1756371000,2025-08-28 14:35:00,2786.22,2025-08-30 12:59:55.628080,2025-08-30,DailyNepseIndexGraph
1756371060,2025-08-28 14:36:00,2786.3,2025-08-30 12:59:55.628087,2025-08-30,DailyNepseIndexGraph
1756371120,2025-08-28 14:37:00,2786.39,2025-08-30 12:59:55.628094,2025-08-30,DailyNepseIndexGraph
1756371180,2025-08-28 14:38:00,2785.84,2025-08-30 12:59:55.628101,2025-08-30,DailyNepseIndexGraph
1756371240,2025-08-28 14:39:00,2785.49,2025-08-30 12:59:55.628108,2025-08-30,DailyNepseIndexGraph
1756371300,2025-08-28 14:40:00,2785.1,2025-08-30 12:59:55.628115,2025-08-30,DailyNepseIndexGraph
1756371360,2025-08-28 14:41:00,2784.62,2025-08-30 12:59:55.628122,2025-08-30,DailyNepseIndexGraph
1756371420,2025-08-28 14:42:00,2784.01,2025-08-30 12:59:55.628129,2025-08-30,DailyNepseIndexGraph
1756371480,2025-08-28 14:43:00,2783.96,2025-08-30 12:59:55.628136,2025-08-30,DailyNepseIndexGraph
1756371540,2025-08-28 14:44:00,2783.89,2025-08-30 12:59:55.628143,2025-08-30,DailyNepseIndexGraph
1756371600,2025-08-28 14:45:00,2784.73,2025-08-30 12:59:55.628150,2025-08-30,DailyNepseIndexGraph
1756371660,2025-08-28 14:46:00,2784.95,2025-08-30 12:59:55.628156,2025-08-30,DailyNepseIndexGraph
